iter	Passed	Remaining
0	315	157315
1	398	99217
2	487	80805
3	554	68762
4	624	61817
5	703	57906
6	801	56422
7	895	55088
8	989	53996
9	1088	53337
10	1202	53459
11	1296	52736
12	1375	51527
13	1458	50633
14	1545	49959
15	1649	49890
16	1748	49680
17	1839	49259
18	1933	48949
19	2029	48706
20	2120	48374
21	2213	48085
22	2284	47372
23	2355	46711
24	2428	46132
25	2500	45583
26	2573	45092
27	2647	44634
28	2728	44310
29	2804	43936
30	2885	43653
31	2963	43341
32	3033	42924
33	3098	42469
34	3177	42215
35	3258	41996
36	3328	41653
37	3396	41300
38	3471	41040
39	3544	40762
40	3622	40552
41	3693	40277
42	3766	40032
43	3834	39741
44	3906	39502
45	3982	39304
46	4050	39039
47	4129	38890
48	4221	38852
49	4327	38951
50	4424	38956
51	4512	38880
52	4622	38982
53	4724	39023
54	4822	39014
55	4931	39100
56	5017	38992
57	5106	38918
58	5207	38924
59	5309	38935
60	5410	38940
61	5511	38935
62	5619	38983
63	5711	38910
64	5803	38838
65	5901	38809
66	5996	38750
67	6088	38682
68	6174	38571
69	6259	38448
70	6359	38425
71	6451	38348
72	6543	38277
73	6640	38226
74	6743	38211
75	6881	38391
76	7006	38492
77	7133	38594
78	7260	38690
79	7399	38847
80	7566	39141
81	7727	39392
82	7862	39503
83	8002	39629
84	8112	39608
85	8220	39571
86	8322	39507
87	8447	39551
88	8556	39515
89	8673	39514
90	8764	39394
91	8854	39267
92	8947	39155
93	9044	39065
94	9158	39045
95	9292	39106
96	9393	39026
97	9502	38979
98	9632	39017
99	9751	39005
100	9857	38943
101	9982	38952
102	10093	38903
103	10201	38844
104	10302	38755
105	10411	38699
106	10514	38619
107	10618	38541
108	10718	38448
109	10820	38362
110	10916	38256
111	11014	38155
112	11105	38033
113	11187	37879
114	11272	37738
115	11363	37616
116	11454	37497
117	11545	37375
118	11652	37307
119	11755	37226
120	11852	37125
121	11949	37023
122	12041	36906
123	12145	36829
124	12242	36726
125	12347	36650
126	12499	36711
127	12683	36860
128	12862	36993
129	13020	37059
130	13162	37076
131	13318	37129
132	13451	37119
133	13557	37029
134	13713	37078
135	13880	37151
136	14030	37174
137	14138	37087
138	14243	36992
139	14345	36888
140	14451	36794
141	14557	36701
142	14683	36657
143	14840	36689
144	15023	36781
145	15159	36757
146	15313	36773
147	15451	36749
148	15586	36716
149	15733	36712
150	15871	36683
151	16015	36667
152	16142	36609
153	16279	36575
154	16416	36539
155	16552	36501
156	16722	36533
157	16920	36625
158	17110	36695
159	17281	36724
160	17428	36696
161	17571	36661
162	17710	36616
163	17870	36613
164	18008	36562
165	18132	36483
166	18250	36392
167	18354	36272
168	18456	36149
169	18563	36035
170	18669	35918
171	18815	35880
172	18961	35841
173	19105	35795
174	19227	35708
175	19452	35810
176	19621	35806
177	19736	35704
178	19847	35592
179	19952	35470
180	20062	35358
181	20180	35260
182	20292	35152
183	20400	35035
184	20506	34916
185	20612	34797
186	20717	34677
187	20834	34576
188	20946	34467
189	21053	34350
190	21154	34223
191	21259	34104
192	21371	33994
193	21477	33876
194	21589	33767
195	21697	33652
196	21801	33532
197	21918	33430
198	22023	33311
199	22134	33202
200	22250	33098
201	22384	33022
202	22513	32938
203	22631	32838
204	22740	32724
205	22874	32646
206	22998	32553
207	23138	32482
208	23269	32399
209	23402	32317
210	23540	32242
211	23657	32138
212	23758	32012
213	23866	31896
214	23969	31773
215	24069	31646
216	24169	31520
217	24272	31397
218	24379	31280
219	24498	31179
220	24618	31079
221	24753	30997
222	24875	30899
223	25016	30824
224	25154	30744
225	25294	30666
226	25442	30597
227	25581	30517
228	25732	30452
229	25871	30371
230	26020	30300
231	26150	30208
232	26269	30103
233	26387	29996
234	26528	29914
235	26652	29814
236	26771	29709
237	26919	29634
238	27039	29529
239	27141	29403
240	27223	29257
241	27315	29121
242	27411	28990
243	27498	28851
244	27624	28752
245	27750	28652
246	27846	28522
247	27971	28422
248	28091	28317
249	28204	28204
250	28314	28089
251	28385	27934
252	28455	27780
253	28528	27629
254	28646	27522
255	28768	27419
256	28886	27312
257	28970	27174
258	29059	27039
259	29136	26895
260	29216	26753
261	29306	26621
262	29389	26484
263	29478	26351
264	29571	26224
265	29694	26122
266	29823	26025
267	29943	25920
268	30055	25809
269	30166	25697
270	30260	25570
271	30358	25447
272	30444	25314
273	30525	25177
274	30618	25051
275	30711	24925
276	30806	24800
277	30902	24677
278	30980	24540
279	31077	24417
280	31176	24297
281	31294	24191
282	31382	24063
283	31466	23932
284	31576	23821
285	31700	23719
286	31805	23604
287	31897	23480
288	32008	23369
289	32116	23256
290	32230	23148
291	32319	23022
292	32407	22895
293	32501	22773
294	32590	22647
295	32683	22524
296	32779	22405
297	32860	22274
298	32966	22161
299	33091	22061
300	33202	21951
301	33317	21844
302	33453	21750
303	33575	21647
304	33688	21538
305	33803	21430
306	34095	21434
307	34235	21341
308	34339	21226
309	34429	21101
310	34539	20990
311	34671	20891
312	34797	20789
313	34948	20701
314	35087	20607
315	35199	20495
316	35295	20375
317	35397	20259
318	35477	20129
319	35550	19996
320	35620	19863
321	35708	19739
322	35803	19619
323	35900	19501
324	35987	19377
325	36067	19250
326	36149	19125
327	36241	19004
328	36319	18877
329	36394	18748
330	36470	18620
331	36550	18495
332	36635	18372
333	36713	18246
334	36790	18120
335	36891	18006
336	36978	17885
337	37066	17765
338	37155	17646
339	37241	17525
340	37319	17401
341	37406	17281
342	37485	17158
343	37584	17044
344	37700	16937
345	37793	16821
346	37878	16701
347	37986	16591
348	38104	16486
349	38199	16371
350	38292	16255
351	38380	16137
352	38494	16030
353	38625	15930
354	38763	15833
355	38916	15741
356	39046	15640
357	39184	15542
358	39348	15454
359	39489	15356
360	39635	15261
361	39771	15161
362	39911	15062
363	40039	14959
364	40195	14866
365	40347	14772
366	40481	14670
367	40605	14564
368	40719	14455
369	40832	14346
370	40943	14236
371	41051	14125
372	41167	14016
373	41284	13908
374	41395	13798
375	41504	13687
376	41611	13576
377	41725	13466
378	41847	13360
379	41986	13258
380	42115	13154
381	42230	13045
382	42337	12933
383	42466	12828
384	42575	12717
385	42678	12604
386	42778	12490
387	42887	12379
388	43007	12272
389	43109	12158
390	43211	12046
391	43319	11935
392	43425	11823
393	43563	11720
394	43676	11610
395	43793	11501
396	43916	11394
397	44059	11291
398	44184	11184
399	44314	11078
400	44450	10974
401	44606	10874
402	44724	10764
403	44840	10655
404	45044	10565
405	45221	10469
406	45368	10366
407	45504	10260
408	45643	10155
409	45802	10054
410	45914	9942
411	46028	9831
412	46142	9720
413	46263	9610
414	46372	9498
415	46488	9387
416	46631	9281
417	46779	9176
418	46923	9071
419	47066	8965
420	47698	8950
421	47866	8847
422	48013	8740
423	48150	8630
424	48337	8530
425	48569	8436
426	48754	8335
427	48917	8229
428	49088	8124
429	49300	8025
430	49419	7911
431	49603	7807
432	49738	7696
433	49900	7588
434	50035	7476
435	50173	7364
436	50288	7249
437	50394	7133
438	50510	7018
439	50622	6903
440	50739	6788
441	50863	6674
442	51006	6562
443	51205	6458
444	51414	6354
445	51637	6252
446	51854	6148
447	52085	6045
448	52265	5936
449	52441	5826
450	52588	5713
451	52753	5602
452	52894	5487
453	53051	5375
454	53180	5259
455	53300	5143
456	53425	5026
457	53538	4909
458	53668	4793
459	53796	4677
460	53917	4561
461	54050	4445
462	54178	4329
463	54311	4213
464	54470	4099
465	54674	3989
466	54854	3876
467	55012	3761
468	55138	3644
469	55271	3527
470	55378	3409
471	55512	3293
472	55635	3175
473	55789	3060
474	55979	2946
475	56141	2830
476	56318	2715
477	56464	2598
478	56586	2480
479	56716	2363
